matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy
335982,0,629,0,
335983,0,621,0,
335984,0,464,0,
335985,0,459,0,
335986,0,503,0,
335987,0,548,0,
335988,0,512,0,
335989,0,565,0,
335990,0,729,0,
335991,0,602,0,
335992,0,530,0,
335993,0,507,0,
335994,0,529,0,
335995,0,554,0,
335996,0,605,0,
335997,0,550,0,
335998,0,612,0,
335999,0,545,0,
336000,0,596,0,
336001,0,457,0,
336002,0,498,0,
336003,0,563,0,
336004,0,604,0,
336005,0,560,0,
336006,0,562,0,
336007,0,503,0,
336008,0,527,0,
336009,0,610,0,
336010,0,389,0,
336011,0,464,0,
336012,0,527,0,
336013,0,624,0,
336014,0,629,0,
336015,0,557,0,
336016,0,472,0,
336017,0,549,0,
336018,0,586,0,
336019,0,700,0,
336020,0,647,0,
336021,0,445,0,
336022,178,406,8,
336023,232,648,5,
336024,154,635,5,
336025,27,383,6,
336026,220,522,6,
336027,319,533,10,0.9
336028,223,605,8,
336029,221,564,6,
336031,243,524,7,
336032,263,603,8,
336033,174,699,8,
336034,464,569,9,
336035,327,647,10,0.494590417
336036,182,471,9,
336037,313,491,9,
336038,454,637,10,0.287284144
336039,337,462,10,0.270562771
336040,488,562,10,0.131672598
392181,249,558,9,
392182,458,649,10,0.294298921
392183,121,310,8,
392184,278,448,8,
392185,262,466,10,0.43776824
392186,273,375,9,
392188,402,628,10,0.359872611
392189,229,665,10,0.655639098
392190,296,570,9,
392191,331,616,10,0.462662338
392192,409,670,10,0.389552239
392194,149,461,9,
392195,370,547,10,0.323583181
392196,353,535,10,0.340186916
392197,389,621,9,
392198,329,525,10,0.373333333
392199,253,499,10,0.492985972
392200,295,528,10,0.441287879
392201,241,488,10,0.506147541
392202,535,660,10,0.189393939
392203,260,550,10,0.527272727
392204,439,650,10,0.324615385
392205,317,497,10,0.362173038
392206,267,657,10,0.593607306
392207,200,464,10,0.568965517
392208,398,507,10,0.214990138
392209,229,619,10,0.630048465
392210,454,608,10,0.253289474
392211,249,474,10,0.474683544
392212,397,584,10,0.320205479
392213,218,480,10,0.545833333
392214,437,536,10,0.184701493
392215,282,454,10,0.378854626
392216,229,487,10,0.529774127
392217,354,442,10,0.199095023
392218,248,434,10,0.428571429
392219,363,491,10,0.260692464
392220,403,554,10,0.272563177
392221,225,512,10,0.560546875
392222,270,464,10,0.418103448
392223,359,675,10,0.468148148
392224,414,558,10,0.258064516
392225,424,536,10,0.208955224
392226,347,492,10,0.294715447
392227,436,464,11,0.060344828
392228,351,492,10,0.286585366
392229,435,564,10,0.228723404
392230,430,544,10,0.205882353
392231,415,510,10,0.18627451
392232,381,502,10,0.241035857
392233,215,478,10,0.550209205
392234,239,543,10,0.55985267
392235,225,634,10,0.64511041
392236,250,589,10,0.575551783
392237,365,597,10,0.388609715
392238,254,418,10,0.392344498
392239,403,610,10,0.339344262
419106,225,554,10,0.593862816
419107,284,590,8,
419108,305,550,10,0.445454545
419109,293,537,10,0.454376164
419110,389,597,10,0.34840871
419111,175,445,10,0.606741573
419112,225,597,10,0.623115578
419113,379,493,11,0.231237323
419114,395,601,10,0.342762063
419115,349,438,10,0.203196347
419116,440,559,10,0.212880143
419117,417,518,10,0.194980695
419118,295,465,10,0.365591398
419119,328,519,10,0.368015414
419120,348,552,10,0.369565217
419121,380,564,10,0.326241135
419122,314,487,9,
419123,493,523,10,0.057361377
419124,279,552,10,0.494565217
419125,390,544,10,0.283088235
419126,287,501,10,0.427145709
419127,315,595,10,0.470588235
419128,217,476,10,0.544117647
419129,341,518,10,0.341698842
419130,465,685,10,0.321167883
419131,277,579,10,0.521588946
419132,456,617,10,0.260940032
419133,299,531,10,0.436911488
419134,436,569,10,0.233743409
419135,448,562,10,0.202846975
419136,282,458,10,0.384279476
419137,635,775,10,0.180645161
419138,341,550,10,0.38
419139,510,545,10,0.064220183
419140,352,537,10,0.344506518
419141,470,706,10,0.33427762
419142,357,491,10,0.272912424
419143,312,479,10,0.348643006
419144,306,522,10,0.413793103
419145,296,623,10,0.524879615
419146,380,576,10,0.340277778
419147,346,525,10,0.340952381
419148,428,542,10,0.210332103
419149,260,488,10,0.467213115
419150,357,542,10,0.341328413
419151,358,585,10,0.388034188
419152,263,476,10,0.447478992
419153,377,561,10,0.32798574
419154,169,400,10,0.5775
419155,317,466,10,0.319742489
419156,399,519,10,0.231213873
419157,426,586,10,0.273037543
419158,258,506,10,0.490118577
419159,420,576,10,0.270833333
419160,318,538,10,0.408921933
419161,382,446,10,0.143497758
419162,285,519,10,0.450867052
419163,364,556,10,0.345323741
419164,216,503,10,0.570576541
419165,363,473,10,0.23255814
501198,339,462,10,0.266233766
501199,267,541,10,0.506469501
501200,325,444,10,0.268018018
501201,372,466,10,0.201716738
501202,180,515,10,0.650485437
501203,355,532,10,0.332706767
501204,315,487,10,0.353182752
501205,373,483,10,0.227743271
501206,237,582,10,0.592783505
501207,281,533,10,0.472795497
501208,345,572,10,0.396853147
501209,322,479,10,0.32776618
501210,507,557,10,0.089766607
501211,266,554,10,0.519855596
501212,237,590,11,0.598305085
501213,467,663,10,0.295625943
501214,183,394,10,0.535532995
501215,314,371,10,0.153638814
501216,289,505,10,0.427722772
501218,335,520,10,0.355769231
501219,230,524,10,0.561068702
501220,379,575,10,0.340869565
501221,336,643,10,0.477449456
501222,454,535,10,0.151401869
501223,555,612,11,0.093137255
501224,411,515,10,0.201941748
501225,391,459,10,0.148148148
501226,340,529,10,0.357277883
501227,355,511,10,0.305283757
501228,450,521,10,0.136276392
501229,250,657,10,0.619482496
501230,345,523,10,0.340344168
501231,198,455,10,0.564835165
501232,477,545,10,0.124770642
501233,449,616,10,0.271103896
501234,238,395,10,0.397468354
501235,316,462,10,0.316017316
501236,341,594,10,0.425925926
501237,462,579,10,0.202072539
501238,240,418,10,0.425837321
501239,349,486,10,0.281893004
501240,394,517,10,0.237911025
501241,395,573,10,0.310645724
501242,274,528,10,0.481060606
501243,387,618,10,0.373786408
501244,562,709,10,0.207334274
501245,246,320,10,0.23125
501246,438,620,10,0.293548387
501247,365,436,10,0.162844037
501248,326,466,10,0.300429185
501249,475,589,10,0.193548387
501250,305,487,10,0.373716632
501251,358,607,10,0.410214168
501252,368,466,10,0.210300429
501253,336,509,10,0.339882122
501254,311,572,10,0.456293706
501255,275,381,10,0.278215223
501256,235,513,10,0.541910331
501257,478,595,11,0.196638655
501258,170,484,10,0.648760331
501259,342,503,10,0.320079523
501260,632,697,10,0.093256815
501261,296,483,10,0.387163561
501262,289,438,10,0.340182648
501263,375,443,10,0.153498871
501264,509,625,10,0.1856
501266,335,556,10,0.397482014
501267,263,546,10,0.518315018
501268,396,517,10,0.234042553
501269,287,551,10,0.479128857
501270,369,556,10,0.336330935
501271,383,590,10,0.350847458
548306,231,458,10,0.495633188
548307,296,408,10,0.274509804
548308,410,588,10,0.302721088
548309,353,583,10,0.394511149
548310,337,544,11,0.380514706
548311,452,647,10,0.301391036
548312,203,565,10,0.640707965
548313,285,463,10,0.384449244
548314,523,649,10,0.194144838
548315,308,684,10,0.549707602
548316,284,329,10,0.136778116
548317,427,741,10,0.423751687
548318,373,692,10,0.460982659
548319,284,508,10,0.440944882
548320,210,426,10,0.507042254
548321,400,625,10,0.36
548322,254,429,10,0.407925408
548323,273,591,10,0.538071066
548324,290,613,10,0.526916803
548325,296,474,10,0.375527426
548326,471,586,10,0.196245734
548327,280,565,10,0.504424779
548328,267,443,11,0.397291196
548329,422,597,10,0.293132328
548330,293,515,10,0.431067961
548331,267,558,10,0.521505376
548332,206,447,10,0.539149888
548333,310,608,10,0.490131579
548334,319,547,10,0.416819013
548335,313,420,10,0.254761905
548336,358,573,10,0.37521815
548337,318,439,10,0.275626424
548339,242,521,10,0.535508637
548341,267,426,10,0.373239437
548342,419,659,10,0.364188164
548343,289,599,10,0.517529215
548344,455,589,10,0.227504244
548345,337,533,10,0.367729831
548346,395,535,10,0.261682243
548347,368,506,10,0.272727273
548348,346,517,10,0.330754352
548349,325,551,10,0.410163339
548350,289,538,10,0.462825279
548351,271,457,10,0.407002188
548352,257,497,10,0.482897384
548353,359,546,10,0.342490842
548354,497,612,10,0.187908497
548355,431,674,10,0.360534125
548356,396,482,10,0.178423237
548357,389,484,10,0.196280992
548358,308,427,10,0.278688525
548359,363,541,10,0.329020333
548360,235,470,10,0.5
548361,253,440,10,0.425
548362,418,548,10,0.237226277
548363,446,549,10,0.187613843
548364,156,411,10,0.620437956
548365,359,639,10,0.438184664
548366,446,619,10,0.279483037
548367,287,542,10,0.470479705
548368,346,467,10,0.259100642
548369,189,505,10,0.625742574
548370,403,522,10,0.227969349
548371,330,518,10,0.362934363
548372,406,674,10,0.397626113
548373,252,443,10,0.431151242
548374,412,631,10,0.347068146
548375,346,476,10,0.273109244
548376,392,594,10,0.34006734
548377,259,514,10,0.496108949
548378,319,488,10,0.346311475
548379,358,620,10,0.422580645
548380,286,609,10,0.530377668
548381,435,612,10,0.289215686
597998,396,526,10,0.247148289
597999,313,559,10,0.440071556
598000,347,478,10,0.274058577
598001,376,587,10,0.359454855
598002,254,577,10,0.559792028
598003,239,371,10,0.355795148
598004,308,540,10,0.42962963
598005,219,541,10,0.595194085
598006,486,667,10,0.271364318
598007,328,512,10,0.359375
598008,375,503,10,0.254473161
598009,279,530,10,0.473584906
598010,270,489,10,0.447852761
598011,373,483,10,0.227743271
598012,316,561,10,0.436720143
598013,328,560,10,0.414285714
598014,270,498,10,0.457831325
598015,333,535,10,0.377570093
598016,495,669,10,0.260089686
598017,356,428,10,0.168224299
598018,465,571,10,0.185639229
598019,302,515,10,0.413592233
598020,308,497,10,0.38028169
598021,290,481,10,0.397089397
598022,273,514,10,0.468871595
598023,313,528,10,0.40719697
598024,406,499,10,0.186372745
598025,363,578,10,0.371972318
598026,417,636,10,0.344339623
598027,557,698,10,0.202005731
598028,305,538,10,0.433085502
598029,329,515,10,0.361165049
598030,495,527,10,0.060721063
598031,364,495,10,0.264646465
598032,320,633,10,0.494470774
598033,417,597,10,0.301507538
598034,273,557,10,0.509874327
598035,293,509,10,0.424361493
598036,342,558,10,0.387096774
598037,459,581,10,0.209982788
598038,297,466,10,0.362660944
598039,263,427,10,0.384074941
598040,276,384,10,0.28125
598041,497,623,10,0.202247191
598042,335,607,10,0.448105437
598043,290,472,10,0.38559322
598044,288,462,10,0.376623377
598045,472,608,10,0.223684211
598046,236,569,10,0.585237258
598047,455,531,10,0.143126177
598048,284,527,10,0.461100569
598049,336,484,11,0.305785124
598050,347,500,10,0.306
598051,444,634,10,0.299684543
598052,445,536,10,0.169776119
598053,318,579,10,0.450777202
598054,389,622,10,0.374598071
598055,247,445,10,0.44494382
598056,247,546,10,0.547619048
598057,398,549,10,0.275045537
598058,323,521,10,0.380038388
598059,301,423,10,0.288416076
598060,174,508,10,0.657480315
598061,269,501,10,0.463073852
598062,311,559,10,0.443649374
598063,393,524,10,0.25
598064,378,555,10,0.318918919
598065,409,605,10,0.323966942
598066,500,640,10,0.21875
598067,274,577,10,0.525129983
598068,214,409,10,0.476772616
598069,327,446,10,0.266816143
598070,493,643,10,0.233281493
598071,225,485,10,0.536082474
598072,418,531,10,0.212806026
598073,444,670,10,0.337313433
729279,384,621,10,0.381642512
729281,373,468,11,0.202991453
729283,380,626,10,0.392971246
729285,340,504,10,0.325396825
729287,295,481,10,0.386694387
729289,343,514,10,0.332684825
729291,302,549,10,0.449908925
729293,396,557,10,0.289048474
729295,221,635,10,0.651968504
729297,216,522,10,0.586206897
729299,233,531,10,0.561205273
729301,338,516,10,0.34496124
729303,214,545,10,0.60733945
729305,210,470,10,0.553191489
729307,336,566,10,0.406360424
729309,322,385,10,0.163636364
729311,385,535,10,0.280373832
729313,274,509,10,0.461689587
729315,315,487,10,0.353182752
729317,372,594,10,0.373737374
733971,386,565,10,0.316814159
733973,245,510,10,0.519607843
733975,177,442,10,0.599547511
733977,262,583,10,0.550600343
733979,348,633,10,0.450236967
733981,288,481,10,0.401247401
733983,341,536,10,0.36380597
733985,307,457,10,0.328227571
733987,440,552,10,0.202898551
733989,365,565,10,0.353982301
733991,396,666,10,0.405405405
733993,215,372,10,0.422043011
733995,277,524,10,0.471374046
733997,187,500,10,0.626
733999,209,673,10,0.689450223
734001,401,514,10,0.219844358
734003,382,545,10,0.299082569
734005,325,518,10,0.372586873
734007,253,536,10,0.527985075
734009,370,475,10,0.221052632
734011,436,608,10,0.282894737
734013,308,509,10,0.394891945
734015,278,423,11,0.342789598
734017,312,581,10,0.462994836
734019,311,657,10,0.526636225
734021,289,508,10,0.431102362
734023,352,436,10,0.19266055
734025,165,503,10,0.671968191
734027,422,542,10,0.221402214
734029,384,564,10,0.319148936
734031,326,522,10,0.375478927
734033,265,490,10,0.459183673
734035,345,510,10,0.323529412
734037,357,529,10,0.325141777
734039,389,528,10,0.263257576
734041,281,548,10,0.487226277
734043,265,550,10,0.518181818
734045,375,557,10,0.326750449
734047,329,657,10,0.499238965
734049,191,712,10,0.731741573
829705,351,546,10,0.357142857
829707,418,531,11,0.212806026
829709,349,569,11,0.386643234
829711,313,561,10,0.442067736
829713,317,524,10,0.395038168
829715,282,607,10,0.535420099
829717,431,631,10,0.316957211
829719,440,593,10,0.258010118
829721,355,503,10,0.294234592
829723,247,619,10,0.600969305
829725,412,578,10,0.287197232
829727,289,447,10,0.353467562
829729,368,672,10,0.452380952
829731,368,518,10,0.28957529
829733,319,634,10,0.496845426
829735,429,506,10,0.152173913
829737,278,623,10,0.553772071
829739,255,475,10,0.463157895
829741,393,546,10,0.28021978
829743,412,452,10,0.088495575
829745,454,601,10,0.244592346
829747,382,600,10,0.363333333
829749,391,508,10,0.230314961
829751,377,604,10,0.375827815
829753,337,540,10,0.375925926
829757,350,471,10,0.256900212
829759,319,530,10,0.398113208
829761,325,485,10,0.329896907
829763,180,343,10,0.475218659
829765,315,472,10,0.332627119
829767,128,503,10,0.745526839
829769,328,496,10,0.338709677
829771,256,349,10,0.266475645
829773,455,564,10,0.193262411
829775,279,473,10,0.410147992
829777,457,612,10,0.253267974
829779,409,589,10,0.305602716
829781,423,519,10,0.184971098
829783,378,524,10,0.278625954
829785,650,693,10,0.062049062
829787,486,615,10,0.209756098
829789,227,407,10,0.442260442
829791,303,585,10,0.482051282
829793,229,517,10,0.557059961
829795,563,647,10,0.129829985
829797,292,607,10,0.518945634
829799,453,616,10,0.26461039
829801,259,490,10,0.471428571
829803,243,415,10,0.414457831
829805,311,439,10,0.291571754
829807,376,426,10,0.117370892
829809,232,418,10,0.444976077
829811,441,744,10,0.407258065
829813,226,354,10,0.361581921
829815,283,476,10,0.405462185
829817,448,603,10,0.257048093
829819,412,545,10,0.244036697
829821,230,447,10,0.485458613
829823,330,646,10,0.489164087
980901,342,472,10,0.275423729
980903,341,475,10,0.282105263
980905,277,573,10,0.516579407
980907,491,617,10,0.204213938
980909,353,574,10,0.385017422
980911,448,540,11,0.17037037
980913,264,474,10,0.443037975
980915,263,512,10,0.486328125
980917,395,570,10,0.307017544
980919,229,574,10,0.601045296
980921,461,639,10,0.27856025
980923,271,524,10,0.482824427
980925,355,534,10,0.335205993
980927,280,530,10,0.471698113
980929,342,511,10,0.33072407
980931,547,660,10,0.171212121
980933,305,506,10,0.397233202
980935,353,461,10,0.234273319
980937,313,511,10,0.387475538
980939,328,569,10,0.423550088
980941,312,626,10,0.501597444
980943,347,500,10,0.306
980945,530,675,10,0.214814815
980947,375,554,10,0.323104693
980949,466,597,10,0.219430486
980951,303,705,10,0.570212766
980953,453,502,10,0.097609562
980955,412,594,10,0.306397306
980957,338,505,11,0.330693069
980959,441,619,10,0.287560582
980961,195,483,10,0.596273292
980963,374,533,10,0.298311445
980965,359,438,10,0.180365297
980967,365,509,10,0.282907662
980969,493,633,10,0.221169036
980971,288,548,10,0.474452555
980973,289,629,10,0.540540541
980975,271,536,10,0.494402985
980977,417,516,10,0.191860465
980979,284,560,10,0.492857143
980981,315,450,10,0.3
980983,305,451,10,0.323725055
980985,324,554,10,0.415162455
980987,538,769,10,0.300390117
980989,145,323,10,0.551083591
980991,245,498,10,0.508032129
980993,226,591,10,0.617597293
980995,384,547,10,0.297989031
980997,205,409,10,0.498777506
980999,498,641,10,0.223088924
981001,397,434,11,0.085253456
981003,358,478,10,0.251046025
981005,359,631,10,0.431061807
981007,350,626,10,0.440894569
981009,356,531,10,0.329566855
981011,445,495,10,0.101010101
981013,353,733,10,0.518417462
981015,285,541,10,0.473197782
981017,315,580,10,0.456896552
981019,360,648,10,0.444444444
1082591,401,538,10,0.25464684
1082592,306,582,10,0.474226804
1082593,240,572,10,0.58041958
1082594,277,457,10,0.393873085
1082595,472,623,10,0.242375602
1082596,328,476,10,0.31092437
1082597,347,583,10,0.404802744
1082598,340,496,10,0.314516129
1082599,403,620,10,0.35
1082600,414,561,10,0.262032086
1082601,385,538,10,0.284386617
1082602,241,575,10,0.580869565
1082603,304,573,10,0.469458988
1082604,341,530,10,0.356603774
1082605,295,611,10,0.517184943
1082606,238,544,10,0.5625
1082607,266,516,10,0.484496124
1082608,454,551,10,0.176043557
1082609,394,728,10,0.458791209
1082610,434,577,10,0.247833622
1082611,331,606,10,0.45379538
1082612,284,594,10,0.521885522
1082613,377,548,10,0.312043796
1082614,266,552,10,0.518115942
1082615,381,469,10,0.187633262
1082616,353,577,10,0.388214905
1082617,283,608,10,0.534539474
1082618,199,533,10,0.626641651
1082620,464,585,10,0.206837607
1082621,290,505,10,0.425742574
1082622,381,538,10,0.291821561
1082623,508,659,10,0.229135053
1082624,327,481,10,0.32016632
1082625,270,626,10,0.568690096
1082626,269,442,10,0.391402715
1082627,431,580,10,0.256896552
1082628,353,518,10,0.318532819
1082629,273,607,10,0.550247117
1082630,377,464,10,0.1875
1082631,320,544,10,0.411764706
1082632,451,663,10,0.319758673
1082633,399,628,10,0.364649682
1082634,378,646,10,0.414860681
1082635,324,602,10,0.46179402
1082636,265,627,10,0.577352472
1082637,430,584,10,0.26369863
1082638,250,502,10,0.501992032
1082639,241,547,10,0.559414991
1082640,379,563,10,0.326820604
1082641,422,622,10,0.321543408
1082642,316,574,10,0.449477352
1082643,354,692,10,0.488439306
1082644,279,571,10,0.511383538
1082645,248,429,10,0.421911422
1082646,454,575,10,0.210434783
1082647,103,566,10,0.818021201
1082648,232,385,10,0.397402597
1082649,193,523,10,0.630975143
1082650,281,526,10,0.465779468
1136561,356,578,10,0.384083045
1136562,453,508,10,0.108267717
1136563,453,606,10,0.252475248
1136564,331,452,10,0.267699115
1136565,295,575,10,0.486956522
1136566,253,360,10,0.297222222
1136567,316,566,10,0.441696113
1136568,336,585,10,0.425641026
1136569,299,612,10,0.511437908
1136570,382,540,10,0.292592593
1136571,355,586,10,0.394197952
1136572,353,562,10,0.371886121
1136573,441,654,10,0.325688073
1136574,454,695,11,0.34676259
1136575,293,506,10,0.420948617
1136576,360,561,10,0.35828877
1136577,456,685,10,0.334306569
1136578,437,531,10,0.177024482
1136579,272,539,10,0.495361781
1136580,271,597,10,0.546063652
1136581,307,599,10,0.487479132
1136582,356,521,10,0.316698656
1136583,338,524,10,0.354961832
1136584,481,681,10,0.293685756
1136585,214,641,10,0.666146646
1136586,388,663,10,0.414781297
1136587,261,554,10,0.528880866
1136588,348,532,10,0.345864662
1136589,286,536,10,0.46641791
1136590,405,608,10,0.333881579
1136591,332,530,10,0.373584906
1136592,450,576,10,0.21875
1136593,309,538,10,0.425650558
1136594,366,469,10,0.219616205
1136595,255,484,10,0.473140496
1136596,170,482,10,0.647302905
1136597,494,572,10,0.136363636
1136598,392,511,10,0.232876712
1136599,422,538,10,0.215613383
1136600,401,650,10,0.383076923
1136601,399,566,10,0.295053004
1136602,348,576,10,0.395833333
1136603,369,486,10,0.240740741
1136604,632,750,11,0.157333333
1136605,402,542,10,0.258302583
1136606,480,584,10,0.178082192
1136607,392,574,10,0.317073171
1136608,263,393,10,0.330788804
1136609,322,595,10,0.458823529
1136610,450,656,10,0.31402439
1136611,327,654,10,0.5
1136612,272,511,10,0.467710372
1136613,339,672,10,0.495535714
1136614,429,600,10,0.285
1136615,307,566,10,0.457597173
1136616,280,640,10,0.5625
1136617,278,506,11,0.450592885
1136618,314,536,10,0.414179104
1136619,467,583,10,0.19897084
1136620,446,538,10,0.171003717
1175356,282,490,10,0.424489796
1175357,307,550,10,0.441818182
1175358,400,593,10,0.325463744
1175359,432,556,10,0.223021583
1175360,338,453,10,0.253863135
1175361,314,580,10,0.45862069
1175362,398,621,10,0.359098229
1175363,391,640,10,0.3890625
1175364,370,546,10,0.322344322
1175365,486,624,10,0.221153846
1175366,215,616,10,0.650974026
1175367,254,634,10,0.599369085
1175368,330,624,10,0.471153846
1175369,359,516,10,0.304263566
1175370,357,575,10,0.379130435
1175371,229,475,10,0.517894737
1175372,520,587,10,0.114139693
1178393,209,541,10,0.613678373
1178394,203,536,10,0.621268657
1178395,365,578,10,0.368512111
1178396,394,473,10,0.167019027
1178397,382,477,11,0.199161426
1178398,336,489,10,0.312883436
1178399,436,632,10,0.310126582
1178400,284,553,10,0.486437613
1178401,405,598,10,0.322742475
1178402,473,649,10,0.271186441
1178403,452,511,10,0.115459883
1178404,382,583,10,0.344768439
1178405,380,655,10,0.419847328
1178406,456,636,10,0.283018868
1178407,403,550,10,0.267272727
1178408,342,458,11,0.253275109
1178409,346,555,10,0.376576577
1178410,539,680,10,0.207352941
1178411,335,544,10,0.384191176
1178412,372,559,10,0.334525939
1178413,292,530,11,0.449056604
1178414,319,556,10,0.426258993
1178415,369,615,10,0.4
1178416,198,543,10,0.635359116
1178417,346,627,10,0.448165869
1178418,257,603,10,0.573797678
1178419,303,577,10,0.474870017
1178420,397,530,10,0.250943396
1178421,391,513,10,0.237816764
1178422,489,684,10,0.285087719
1178423,475,630,10,0.246031746
1178424,159,311,10,0.488745981
1178425,353,597,10,0.408710218
1178426,343,590,10,0.418644068
1178427,274,479,10,0.427974948
1178428,326,562,10,0.419928826
1178429,176,631,10,0.721077655
1178430,348,622,10,0.440514469
1178431,258,503,10,0.487077535
1181764,193,457,10,0.577680525
1181766,298,579,10,0.485319516
1181767,354,507,10,0.301775148
1181768,211,525,10,0.598095238
